iter	Passed	Remaining
399	66050	99076
400	66231	98934
401	66386	98754
402	66545	98579
403	66710	98414
404	66885	98263
405	67067	98123
406	67243	97973
407	67416	97819
408	67582	97656
409	67745	97486
410	67856	97244
411	68143	97252
412	68335	97126
413	68529	97001
414	68749	96912
415	68922	96756
416	69081	96582
417	69266	96442
418	69434	96280
419	69616	96136
420	69792	95985
421	69971	95838
422	70132	95665
423	70286	95482
424	70409	95260
425	70557	95070
426	70734	94919
427	70930	94795
428	71113	94652
429	71272	94477
430	71441	94315
431	71651	94207
432	71789	94005
433	71991	93887
434	72147	93708
435	72320	93552
436	72473	93369
437	72625	93185
438	72790	93019
439	72949	92844
440	73078	92632
441	73238	92459
442	73407	92297
443	73571	92129
444	73748	91977
445	73913	91812
446	74107	91680
447	74269	91510
448	74424	91331
449	74588	91163
450	74696	90928
451	74874	90776
452	75020	90588
453	75215	90456
454	75393	90306
455	75579	90165
456	75759	90015
457	75936	89863
458	76107	89704
459	76291	89559
460	76485	89426
461	76675	89288
462	76840	89121
463	77003	88952
464	77147	88761
465	77320	88603
466	77478	88428
467	77662	88282
468	77802	88088
469	77997	87954
470	78175	87801
471	78351	87647
472	78530	87496
473	78705	87339
474	78888	87192
475	79065	87039
476	79249	86892
477	79424	86735
478	79607	86588
479	79780	86428
480	79992	86312
481	80166	86154
482	80339	85994
483	80524	85848
484	80673	85664
485	80835	85492
486	81008	85333
487	81167	85159
488	81338	84997
489	81508	84835
490	81682	84676
491	81835	84496
492	82017	84346
493	82198	84194
494	82359	84023
495	82510	83840
496	82694	83692
497	82865	83531
498	83047	83380
499	83228	83228
500	83384	83051
501	83568	82902
502	83762	82763
503	83936	82604
504	84100	82434
505	84250	82252
506	84416	82085
507	84550	81887
508	84726	81730
509	84877	81549
510	85024	81363
511	85165	81172
512	85312	80989
513	85471	80815
514	85648	80659
515	85790	80470
516	85974	80320
517	86147	80160
518	86297	79978
519	86459	79808
520	86642	79658
521	86790	79474
522	86972	79322
523	87115	79135
524	87286	78973
525	87464	78817
526	87684	78699
527	87860	78542
528	88052	78398
529	88201	78216
530	88367	78049
531	88502	77855
532	88643	77666
533	88773	77469
534	88966	77325
535	89096	77128
536	89292	76987
537	89465	76827
538	89618	76649
539	89766	76467
540	89926	76296
541	90129	76160
542	90299	75997
543	90476	75840
544	90672	75698
545	91158	75798
546	91400	75693
547	91574	75532
548	91775	75392
549	91973	75250
550	92135	75079
551	92318	74925
552	92461	74738
553	92630	74572
554	92780	74391
555	92943	74220
556	93123	74064
557	93269	73880
558	93446	73720
559	93617	73556
560	93796	73398
561	93967	73234
562	94127	73061
563	94290	72891
564	94464	72729
565	94657	72582
566	95052	72588
567	95234	72431
568	95423	72280
569	95610	72126
570	95793	71970
571	95955	71799
572	96092	71608
573	96251	71433
574	96405	71255
575	96541	71065
576	96703	70893
577	96860	70718
578	97034	70554
579	97207	70391
580	97393	70237
581	97577	70081
582	97737	69907
583	97912	69745
584	98007	69526
585	98150	69341
586	98335	69186
587	98506	69021
588	98639	68829
589	98841	68686
590	99005	68516
591	99162	68341
592	99322	68169
593	99508	68014
594	99706	67867
595	99891	67711
596	100069	67550
597	100232	67380
598	100399	67212
599	100568	67045
600	100739	66880
601	100915	66718
602	101078	66547
603	101223	66365
604	101415	66213
605	101536	66015
606	101727	65862
607	101892	65693
608	102064	65529
609	102217	65352
610	102383	65183
611	102530	65003
612	102643	64800
613	102827	64644
614	103002	64481
615	103177	64318
616	103346	64151
617	103544	64003
618	103723	63842
619	103893	63676
620	104082	63522
621	104240	63348
622	104382	63165
623	104580	63016
624	104757	62854
625	104895	62669
626	105062	62501
627	105260	62351
628	105390	62162
629	105586	62011
630	105765	61850
631	105921	61675
632	106088	61508
633	106289	61359
634	106463	61195
635	106634	61029
636	106803	60862
637	106958	60688
638	107105	60508
639	107279	60344
640	107467	60188
641	107617	60011
642	107837	59872
643	108014	59709
644	108183	59542
645	108346	59372
646	108525	59210
647	108644	59016
648	108780	58832
649	108971	58677
650	109164	58522
651	109346	58362
652	109519	58197
653	109689	58031
654	109853	57861
655	110029	57698
656	110185	57524
657	110338	57349
658	110511	57184
659	110651	57002
660	110808	56829
661	111057	56702
662	111303	56575
663	111499	56421
664	111700	56270
665	111896	56116
666	112050	55941
667	112197	55763
668	112384	55604
669	112535	55428
670	112680	55248
671	112828	55071
672	113028	54918
673	113193	54749
674	113355	54578
675	113514	54406
676	113653	54224
677	113839	54065
678	114011	53899
679	114140	53713
680	114292	53537
681	114447	53364
682	114598	53188
683	114772	53023
684	114953	52862
685	115135	52700
686	115294	52528
687	115457	52358
688	115641	52197
689	115802	52027
690	115977	51862
691	116139	51692
692	116321	51530
693	116491	51363
694	116672	51201
695	116859	51042
696	117015	50869
697	117183	50701
698	117357	50535
699	117570	50387
700	117751	50225
701	117913	50054
702	118047	49872
703	118224	49708
704	118397	49542
705	118534	49361
706	118694	49190
707	118849	49017
708	119024	48852
709	119205	48689
710	119387	48527
711	119558	48360
712	119743	48199
713	119894	48025
714	120063	47857
715	120208	47680
716	120387	47516
717	120551	47347
718	120961	47274
719	121136	47108
720	121341	46954
721	121498	46782
722	121654	46609
723	121827	46442
724	122011	46280
725	122187	46114
726	122335	45939
727	122507	45771
728	122683	45606
729	122856	45440
730	123019	45270
731	123205	45107
732	123379	44941
733	123526	44765
734	123716	44605
735	123887	44437
736	124059	44271
737	124231	44103
738	124391	43932
739	124568	43767
740	124734	43598
741	124844	43409
742	125017	43242
743	125203	43080
744	125335	42899
745	125521	42737
746	125695	42571
747	125806	42383
748	125987	42220
749	126162	42054
750	126352	41893
751	126525	41726
752	127036	41670
753	127213	41504
754	127445	41356
755	127638	41195
756	127810	41027
757	127946	40848
758	128086	40670
759	128258	40502
760	128420	40331
761	128607	40168
762	128783	40002
763	128950	39832
764	129108	39660
765	129288	39495
766	129457	39326
767	129637	39161
768	129821	38996
769	129995	38829
770	130179	38665
771	130354	38498
772	130515	38327
773	130677	38156
774	130821	37980
775	131002	37815
776	131185	37650
777	131349	37480
778	131528	37314
779	131711	37149
780	131868	36977
781	132056	36813
782	132240	36649
783	132405	36479
784	132583	36312
785	132754	36144
786	132937	35979
787	133125	35815
788	133316	35652
789	133465	35478
790	133637	35310
791	133801	35139
792	133974	34971
793	134132	34800
794	134292	34628
795	134468	34461
796	134645	34294
797	134823	34128
798	134979	33956
799	135165	33791
800	135324	33619
801	135494	33451
802	135655	33280
803	135822	33111
804	135976	32938
805	136107	32760
806	136281	32592
807	136466	32427
808	136629	32257
809	136798	32088
810	136978	31922
811	137174	31759
812	137342	31590
813	137530	31425
814	137687	31254
815	137850	31083
816	138235	30963
817	138422	30798
818	138603	30631
819	138792	30466
820	138901	30284
821	139053	30111
822	139194	29936
823	139384	29771
824	139573	29606
825	139729	29434
826	139888	29263
827	140029	29088
828	140213	28922
829	140371	28750
830	140564	28586
831	140758	28422
832	140954	28258
833	141170	28098
834	141382	27937
835	141571	27772
836	141746	27604
837	141898	27431
838	142059	27260
839	142219	27089
840	142373	26917
841	142556	26750
842	142666	26570
843	142823	26398
844	142986	26228
845	143135	26055
846	143301	25885
847	143473	25716
848	143642	25547
849	143796	25375
850	143968	25207
851	144132	25037
852	144267	24862
